room,price,district,floor,square
1-к квартира,2900000.0,р-н Кировский,7/10 эт.,40.0
2-к квартира,3400000.0,р-н Индустриальный,2/14 эт.,48.7
4-к квартира,3690000.0,р-н Кировский,4/9 эт.,80.6
1-к квартира,2150000.0,р-н Индустриальный,2/5 эт.,30.0
2-к квартира,2000000.0,р-н Орджоникидзевский,1/5 эт.,43.0
3-к квартира,3550000.0,р-н Дзержинский,2/9 эт.,63.0
1-к квартира,1610000.0,р-н Свердловский,9/9 эт.,27.0
2-к квартира,2650000.0,р-н Кировский,9/16 эт.,72.5
3-к квартира,2900000.0,р-н Дзержинский,5/5 эт.,56.0
2-к квартира,2300000.0,р-н Индустриальный,4/5 эт.,44.1
2-к квартира,3100000.0,р-н Свердловский,3/4 эт.,56.0
3-к квартира,4300000.0,р-н Свердловский,6/12 эт.,85.0
5-к квартира,22000000.0,р-н Свердловский,6/6 эт.,200.0
1-к квартира,2500000.0,р-н Кировский,3/7 эт.,40.5
3-к квартира,2900000.0,р-н Свердловский,7/14 эт.,56.4
1-к квартира,1721560.0,р-н Мотовилихинский,5/9 эт.,30.9
1-к квартира,2475000.0,р-н Кировский,8/10 эт.,40.0
4-к квартира,2980000.0,р-н Свердловский,3/5 эт.,61.0
3-к квартира,3100000.0,р-н Дзержинский,4/9 эт.,61.0
2-к квартира,6800000.0,р-н Свердловский,8/15 эт.,71.0
2-к квартира,2250000.0,р-н Орджоникидзевский,8/10 эт.,51.0
2-к квартира,2940000.0,р-н Свердловский,5/5 эт.,43.0
4-к квартира,4099000.0,р-н Орджоникидзевский,16/16 эт.,90.0
2-к квартира,3450000.0,р-н Индустриальный,2/10 эт.,52.4
2-к квартира,3200000.0,р-н Индустриальный,9/16 эт.,42.1
1-к квартира,1290000.0,р-н Мотовилихинский,1/5 эт.,26.0
3-к квартира,2900000.0,р-н Кировский,5/5 эт.,61.7
2-к квартира,3299000.0,р-н Свердловский,7/9 эт.,44.0
2-к квартира,1800000.0,р-н Кировский,3/5 эт.,43.0
2-к квартира,3190000.0,р-н Дзержинский,1/12 эт.,50.0
1-к квартира,2000000.0,р-н Орджоникидзевский,9/10 эт.,43.0
3-к квартира,3300000.0,р-н Свердловский,4/10 эт.,60.0
3-к квартира,3100000.0,р-н Кировский,3/5 эт.,51.0
Квартира-студия,1490000.0,р-н Кировский,12/20 эт.,20.4
2-к квартира,2800000.0,р-н Орджоникидзевский,8/10 эт.,56.0
2-к квартира,4150000.0,р-н Дзержинский,6/17 эт.,53.0
1-к квартира,2100000.0,р-н Индустриальный,5/5 эт.,30.4
1-к квартира,2880000.0,р-н Дзержинский,8/9 эт.,36.6
2-к квартира,2380000.0,р-н Кировский,3/5 эт.,44.0
2-к квартира,2600000.0,р-н Мотовилихинский,1/5 эт.,42.8
2-к квартира,4900000.0,р-н Мотовилихинский,2/11 эт.,74.0
3-к квартира,3399999.0,р-н Дзержинский,9/10 эт.,68.0
2-к квартира,5300000.0,р-н Дзержинский,16/16 эт.,74.4
Своб. планировка,8554000.0,р-н Ленинский,13/25 эт.,132.0
2-к квартира,3950000.0,р-н Индустриальный,9/16 эт.,57.9
3-к квартира,3549000.0,р-н Мотовилихинский,1/5 эт.,50.4
3-к квартира,3200000.0,р-н Орджоникидзевский,1/2 эт.,60.0
2-к квартира,4400000.0,р-н Дзержинский,4/10 эт.,54.4
2-к квартира,2850000.0,р-н Дзержинский,5/5 эт.,42.0
3-к квартира,2843600.0,р-н Орджоникидзевский,7/16 эт.,65.2
1-к квартира,2370000.0,р-н Дзержинский,1/5 эт.,30.4
3-к квартира,2650000.0,р-н Орджоникидзевский,2/5 эт.,60.0
3-к квартира,2700000.0,р-н Свердловский,5/5 эт.,42.5
1-к квартира,1850000.0,р-н Орджоникидзевский,1/9 эт.,35.0
1-к квартира,1980000.0,р-н Индустриальный,5/5 эт.,37.0
1-к квартира,3700000.0,р-н Индустриальный,14/25 эт.,49.0
3-к квартира,5750000.0,р-н Мотовилихинский,2/16 эт.,85.0
6-к квартира,16500000.0,р-н Ленинский,5/12 эт.,175.0
3-к квартира,3050000.0,р-н Индустриальный,3/5 эт.,58.1
4-к квартира,4999000.0,р-н Ленинский,2/4 эт.,158.1
2-к квартира,3600000.0,р-н Дзержинский,1/12 эт.,48.8
3-к квартира,5850000.0,р-н Индустриальный,6/17 эт.,89.9
3-к квартира,3700000.0,р-н Кировский,16/16 эт.,79.0
1-к квартира,2377000.0,р-н Дзержинский,1/10 эт.,40.0
2-к квартира,3400000.0,р-н Дзержинский,6/9 эт.,54.0
1-к квартира,1100000.0,р-н Мотовилихинский,4/5 эт.,25.0
1-к квартира,2350000.0,р-н Кировский,9/10 эт.,52.0
1-к квартира,680000.0,р-н Кировский,1/5 эт.,14.0
2-к квартира,2350000.0,р-н Кировский,4/5 эт.,43.0
3-к квартира,7100000.0,р-н Свердловский,2/25 эт.,77.0
1-к квартира,1100000.0,р-н Кировский,3/9 эт.,22.0
3-к квартира,2850000.0,р-н Индустриальный,7/9 эт.,61.0
3-к квартира,3600000.0,р-н Дзержинский,1/9 эт.,60.0
4-к квартира,4500000.0,р-н Свердловский,2/9 эт.,76.7
2-к квартира,2500000.0,р-н Свердловский,2/5 эт.,46.8
Студия,2100000.0,р-н Мотовилихинский,3/4 эт.,36.4
2-к квартира,1700000.0,р-н Кировский,4/9 эт.,34.8
1-к квартира,4400000.0,р-н Ленинский,3/9 эт.,44.0
1-к квартира,1700000.0,р-н Кировский,3/5 эт.,31.0
3-к квартира,4900000.0,р-н Индустриальный,23/25 эт.,62.0
3-к квартира,1799000.0,р-н Ленинский,1/3 эт.,38.8
4-к квартира,8500000.0,р-н Ленинский,4/10 эт.,110.0
2-к квартира,3450000.0,р-н Дзержинский,7/10 эт.,42.0
1-к квартира,2400000.0,р-н Индустриальный,3/5 эт.,30.2
3-к квартира,6300000.0,р-н Индустриальный,10/10 эт.,84.0
1-к квартира,1980000.0,р-н Мотовилихинский,3/5 эт.,30.0
2-к квартира,2750000.0,р-н Мотовилихинский,5/5 эт.,46.4
2-к квартира,1890000.0,р-н Кировский,2/5 эт.,43.7
3-к квартира,8750000.0,р-н Ленинский,5/9 эт.,95.0
2-к квартира,2040000.0,р-н Свердловский,9/9 эт.,37.0
2-к квартира,5400000.0,р-н Свердловский,6/25 эт.,64.0
2-к квартира,5400000.0,р-н Свердловский,6/25 эт.,64.0
3-к квартира,4699000.0,р-н Свердловский,2/2 эт.,72.0
2-к квартира,3490000.0,р-н Орджоникидзевский,6/10 эт.,57.0
Квартира-студия,3295000.0,р-н Дзержинский,16/25 эт.,35.0
2-к квартира,3800000.0,р-н Кировский,9/16 эт.,60.7
2-к квартира,2950000.0,р-н Ленинский,5/5 эт.,33.0
3-к квартира,3300000.0,р-н Индустриальный,1/9 эт.,60.4
2-к квартира,2290000.0,р-н Орджоникидзевский,9/16 эт.,50.0
3-к квартира,4646400.0,р-н Индустриальный,4/25 эт.,72.6
1-к квартира,3300150.0,р-н Индустриальный,14/25 эт.,44.9
2-к квартира,5200000.0,р-н Свердловский,12/25 эт.,53.9
1-к квартира,2690000.0,р-н Орджоникидзевский,16/17 эт.,46.0
1-к квартира,3100000.0,р-н Орджоникидзевский,10/14 эт.,48.0
1-к квартира,2646000.0,р-н Мотовилихинский,4/4 эт.,35.3
3-к квартира,8600000.0,р-н Свердловский,19/25 эт.,76.0
2-к квартира,3335000.0,р-н Кировский,2/16 эт.,56.1
1-к квартира,3390000.0,р-н Свердловский,5/25 эт.,39.6
1-к квартира,1350000.0,р-н Ленинский,4/12 эт.,23.0
1-к квартира,1650000.0,р-н Орджоникидзевский,3/16 эт.,33.0
2-к квартира,2260000.0,р-н Мотовилихинский,5/5 эт.,44.5
2-к квартира,2500000.0,р-н Орджоникидзевский,1/9 эт.,56.4
2-к квартира,2290000.0,р-н Индустриальный,2/5 эт.,42.0
2-к квартира,2350000.0,р-н Дзержинский,1/5 эт.,44.3
1-к квартира,2500000.0,р-н Индустриальный,4/4 эт.,36.0
2-к квартира,2600000.0,р-н Кировский,1/10 эт.,56.0
4-к квартира,3900000.0,р-н Свердловский,2/5 эт.,99.4
2-к квартира,2060000.0,р-н Кировский,1/3 эт.,43.9
5-к квартира,9200000.0,р-н Ленинский,7/7 эт.,115.0
2-к квартира,4390000.0,р-н Индустриальный,4/9 эт.,54.0
2-к квартира,3100000.0,р-н Мотовилихинский,5/9 эт.,43.0
1-к квартира,1350000.0,р-н Кировский,2/2 эт.,36.7
2-к квартира,4100000.0,р-н Индустриальный,7/10 эт.,53.0
4-к квартира,7800000.0,р-н Свердловский,6/10 эт.,115.9
3-к квартира,2800000.0,р-н Свердловский,5/5 эт.,61.2
2-к квартира,2650000.0,р-н Дзержинский,1/5 эт.,45.0
4-к квартира,5000000.0,р-н Индустриальный,8/16 эт.,83.4
2-к квартира,5700000.0,р-н Ленинский,6/9 эт.,61.4
2-к квартира,4250000.0,р-н Свердловский,13/19 эт.,51.1
1-к квартира,555000.0,р-н Свердловский,1/5 эт.,17.0
2-к квартира,2490000.0,р-н Свердловский,1/5 эт.,42.8
2-к квартира,2400000.0,р-н Кировский,4/5 эт.,45.4
3-к квартира,2990000.0,р-н Свердловский,7/9 эт.,52.7
1-к квартира,1200000.0,р-н Мотовилихинский,1/2 эт.,24.0
1-к квартира,1800000.0,р-н Орджоникидзевский,5/5 эт.,32.0
1-к квартира,1600000.0,р-н Кировский,5/5 эт.,31.6
1-к квартира,2250000.0,р-н Свердловский,5/5 эт.,31.0
2-к квартира,2100000.0,р-н Дзержинский,1/5 эт.,45.0
1-к квартира,1150000.0,р-н Кировский,3/5 эт.,30.0
3-к квартира,4499000.0,р-н Дзержинский,13/16 эт.,78.2
2-к квартира,3390000.0,р-н Свердловский,7/10 эт.,49.0
Квартира-студия,3500000.0,р-н Свердловский,12/25 эт.,36.0
1-к квартира,1980000.0,р-н Индустриальный,4/5 эт.,36.0
2-к квартира,1660000.0,р-н Дзержинский,8/9 эт.,37.0
Квартира-студия,1760000.0,р-н Свердловский,12/25 эт.,24.4
2-к квартира,4890000.0,р-н Индустриальный,1/25 эт.,77.0
1-к квартира,2600000.0,р-н Орджоникидзевский,10/16 эт.,46.0
Квартира-студия,1760000.0,р-н Свердловский,12/25 эт.,24.4
2-к квартира,4890000.0,р-н Индустриальный,1/25 эт.,77.0
1-к квартира,2600000.0,р-н Орджоникидзевский,10/16 эт.,46.0
1-к квартира,2768920.0,р-н Дзержинский,13/24 эт.,40.6
3-к квартира,4000000.0,р-н Индустриальный,1/11 эт.,67.1
1-к квартира,1600000.0,р-н Кировский,2/5 эт.,31.0
1-к квартира,2800000.0,р-н Мотовилихинский,1/9 эт.,37.0
2-к квартира,2780000.0,р-н Индустриальный,4/5 эт.,44.0
1-к квартира,1647400.0,р-н Орджоникидзевский,9/16 эт.,34.2
1-к квартира,2300000.0,р-н Свердловский,15/16 эт.,28.4
3-к квартира,2200000.0,р-н Орджоникидзевский,5/5 эт.,50.3
3-к квартира,3850000.0,р-н Свердловский,6/9 эт.,57.0
2-к квартира,1948000.0,р-н Кировский,1/5 эт.,43.0
2-к квартира,2280358.0,р-н Мотовилихинский,5/9 эт.,40.9
2-к квартира,2500000.0,р-н Орджоникидзевский,4/17 эт.,55.2
3-к квартира,4501200.0,р-н Индустриальный,4/25 эт.,72.6
2-к квартира,2600000.0,р-н Свердловский,2/5 эт.,41.0
3-к квартира,4250000.0,р-н Свердловский,4/9 эт.,67.7
2-к квартира,5850000.0,р-н Свердловский,11/25 эт.,60.0
3-к квартира,7400000.0,р-н Мотовилихинский,3/9 эт.,126.0
2-к квартира,2630000.0,р-н Мотовилихинский,4/5 эт.,44.0
1-к квартира,1880000.0,р-н Свердловский,4/5 эт.,32.2
3-к квартира,2843600.0,р-н Орджоникидзевский,7/16 эт.,65.2
2-к квартира,5300000.0,р-н Дзержинский,16/16 эт.,74.4
4-к квартира,10800000.0,р-н Дзержинский,12/16 эт.,133.0
2-к квартира,2290000.0,р-н Орджоникидзевский,9/16 эт.,50.0
1-к квартира,2300000.0,р-н Свердловский,15/16 эт.,28.4
2-к квартира,2250000.0,р-н Кировский,3/5 эт.,41.3
2-к квартира,3100000.0,р-н Свердловский,5/5 эт.,46.3
Квартира-студия,2400000.0,р-н Свердловский,6/16 эт.,43.0
2-к квартира,2600000.0,р-н Свердловский,5/5 эт.,60.0
Апартаменты-студия,1885000.0,р-н Свердловский,12/16 эт.,28.0
3-к квартира,4439100.0,р-н Кировский,9/16 эт.,69.8
1-к квартира,3120390.0,р-н Мотовилихинский,4/17 эт.,37.8
1-к квартира,2790000.0,р-н Свердловский,2/25 эт.,37.6
2-к квартира,2780000.0,р-н Индустриальный,4/5 эт.,44.0
1-к квартира,3790000.0,р-н Дзержинский,4/8 эт.,50.2
3-к квартира,4501200.0,р-н Индустриальный,4/25 эт.,72.6
2-к квартира,2850000.0,р-н Дзержинский,5/5 эт.,42.0
1-к квартира,1950000.0,р-н Индустриальный,1/4 эт.,31.5
1-к квартира,2250000.0,р-н Индустриальный,4/5 эт.,30.0
2-к квартира,2800000.0,р-н Кировский,21/25 эт.,45.1
1-к квартира,3490000.0,р-н Индустриальный,6/24 эт.,43.0
2-к квартира,7000000.0,р-н Дзержинский,15/16 эт.,75.8
1-к квартира,3270000.0,р-н Свердловский,16/17 эт.,49.3
